id,name,calories,carbs,fat,protein,ingredients,instructions,link
11,Grilled Flank Steak with Tomato Salad,346,4,25,25,"1 pint grape tomatoes, halved. ½ cup chopped fresh cilantro. ⅓ cup extra-virgin olive oil. 1 small jalapeño pepper, seeded and sliced. 2 teaspoons finely chopped garlic. ½ teaspoon salt, divided. 1 1-pound flank steak. ½ teaspoon ground pepper","Preheat grill to medium-high. Combine tomatoes, cilantro, oil, jalapeño, garlic, 1/4 tsp salt in bowl. Set aside. Season steak with remaining salt, pepper. Grill until medium-rare, 3-5 min per side. Transfer steak to cutting board, slice thinly across the grain. Divide among plates. Drizzle accumulated juices over steak, top with tomato salad.",https://www.eatingwell.com/recipe/280007/grilled-flank-steak-with-tomato-salad/
12,Cilantro-Lime Chicken Tacos,385,23,18,32,"1 cup loosely packed cilantro leaves, plus 1/4 cup chopped fresh cilantro, divided. ¼ cup olive oil. ½ teaspoon lime zest (reserve before juicing limes). 3 tablespoons lime juice, divided. 2 tablespoons orange juice. 2 cloves garlic, minced. ¼ teaspoon salt plus 1/8 tsp., divided. 1 ¼ pounds thin-sliced boneless, skinless chicken cutlets. 1 cup diced tomatoes. 1 cup diced strawberries. 1 tablespoon minced jalapeño pepper. 2 cups baby spinach. 8 (6 inch) blue or yellow corn tortillas, warmed","Combine cilantro leaves, oil, 2 tbsp lime juice, orange juice, garlic, 1/4 tsp salt in blender; process until smooth. Transfer half to bowl, refrigerate. Place remaining mixture in bag, add chicken. Seal, coat chicken, refrigerate 30 min to 1 hour. Combine tomatoes, strawberries, jalapeño, lime zest, 1 tbsp lime juice, 1/4 cup chopped cilantro, 1/8 tsp salt in bowl; toss. Refrigerate. Preheat grill to medium-high. Remove chicken from marinade, grill until cooked through, 4-5 min per side. Let rest 5 min, slice thinly. To assemble: Place spinach, chicken on tortilla. Top with reserved cilantro mixture, salsa.",https://www.eatingwell.com/recipe/280198/cilantro-lime-chicken-tacos/
13,Coconut Curry Shrimp,378,37,10,34,"2 tablespoons canola oil. 3 tablespoons green curry paste. 1 tablespoon finely chopped garlic. 1 tablespoon finely chopped fresh ginger. 1 ½ teaspoons finely chopped lemongrass. 1 (15 ounce) can light coconut milk, well shaken. 1 cup reduced-sodium vegetable broth. 1 ½ teaspoons fish sauce. 2 teaspoons cornstarch. 6 ounces snow peas, cut into 1-inch pieces. 1 cup matchstick-cut carrots. 2 pounds medium shrimp, peeled and deveined. ½ cup packed fresh Thai basil or Italian basil, thinly sliced. 3 cups hot cooked brown rice","Heat oil in saucepan over medium heat. Add curry paste, garlic, ginger, lemongrass; cook until aromatic and dry, about 2 min. Add coconut milk, broth; bring to boil. Reduce heat, simmer 5 min. Stir fish sauce, cornstarch in bowl. Add to curry, bring to boil. Reduce heat, simmer until thickened, about 5 min. Add snow peas, carrots; boil until tender, about 2 min. Add shrimp, cook until pink and cooked through, about 2 min. Remove from heat, stir in basil. Serve over rice.",https://www.eatingwell.com/recipe/279260/coconut-curry-shrimp/
14,Easy Sesame Chicken with Green Beans,257,12,13,23,"4  medium bone-in chicken thighs (about 5 oz. each), skin removed. 4 teaspoons toasted sesame oil or canola oil, divided. ¾ teaspoon garlic powder, divided. ¼ teaspoon salt, divided. 12 ounces green beans, trimmed. 3 tablespoons hoisin sauce. 1 tablespoon sesame seeds, toasted (see Tip). 1 medium scallion, chopped","Preheat oven to 425°F. Place chicken on baking sheet. Brush with 1 tsp oil, sprinkle with 1/2 tsp garlic powder, 1/8 tsp salt. Roast for 15 min. Toss green beans with remaining 3 tsp oil, 1/4 tsp garlic powder, 1/8 tsp salt. After 15 min, add beans to baking sheet around chicken. Brush chicken with hoisin sauce. Return to oven, roast until chicken registers 165°F, beans are tender and beginning to brown, 10-15 min more. Combine sesame seeds, scallion. Toss half with beans, sprinkle remaining over chicken.",https://www.eatingwell.com/recipe/280169/easy-sesame-chicken-with-green-beans/
15,Pita Panzanella Salad with Meatballs,380,30,15,34,"1 ½ pounds 93%-lean ground turkey. ½ cup panko breadcrumbs. ¼ cup grated red onion, plus 3/4 cup quartered and thinly sliced. 1  large egg, lightly beaten. 1 tablespoon minced fresh oregano plus 2 tsp., or 1 1/2 tsp. dried oregano, divided. 3 teaspoons minced garlic, divided. 2 teaspoons olive oil plus 3 Tbsp., divided. ¾ teaspoon salt. ½ teaspoon ground pepper. 3 (6 inch) whole-wheat pita breads. 3 tablespoons red-wine vinegar. 1 teaspoon honey. 1 teaspoon Dijon mustard. 1  large English cucumber, sliced. 1 ¾ cups diced plum tomatoes (3-5 tomatoes). ¾ cup sliced pitted Kalamata olives","Preheat oven to 425°F. Coat baking sheet with cooking spray. Mix turkey, breadcrumbs, grated onion, egg, oregano, garlic, oil, salt, pepper in bowl until combined. Form into about 42 meatballs, 1 inch in diameter. Arrange on baking sheet. Bake until browned, 10-12 min. Split pitas, tear into half-moons. Arrange on baking sheet, bake until golden brown, 5-7 min. Let cool, break into croutons. Whisk vinegar, remaining oil, oregano, garlic, honey, mustard in bowl. Add cucumber, tomatoes, olives, onion, pita croutons; toss. Serve salad with meatballs.",https://www.eatingwell.com/recipe/280176/pita-panzanella-salad-with-meatballs/
16,Baked Fish & Kale Lavash Wraps,392,46,10,24,"5 ounces baby kale or baby spinach. 3 tablespoons coarsely chopped fresh tarragon and/or dill. 2 tablespoons finely chopped scallions. ½ teaspoon kosher salt, divided. ⅛ teaspoon plus 1/4 teaspoon ground pepper, divided. 1 pound cod, halibut or barramundi, skinned and cut into 4 portions. 4 sheets lavash. 6 teaspoons extra-virgin olive oil, divided. ¼ cup Very Versatile Roasted Red Pepper Sauce (see Associated Recipes), plus more for serving","Preheat oven to 375°F. Line baking sheet with parchment paper, coat with spray. Wilt greens in boiling water for 5 min, drain. Mix with tarragon, scallions, salt, pepper. Season fish. Place fish on lavash, top with greens, roll up. Bake 20-30 min until crisp. Serve with sauce.",https://www.eatingwell.com/recipe/279805/baked-fish-kale-lavash-wraps/
17,Pork & Pineapple Tacos,306,31,5,35,"1 tablespoon chili powder. 2 teaspoons smoked paprika. 1 teaspoon packed light brown sugar. ¾ teaspoon salt, divided. ½ teaspoon garlic powder. ½ teaspoon ground pepper. 1 (2 pound) pork loin roast, trimmed. ⅓ cup apple juice. ½ cup lime juice. 2 cups finely diced fresh pineapple (about 1/2 small pineapple). 1 cup finely diced seeded cucumber. ¼ cup finely diced red onion. 2 tablespoons cider vinegar. 12  6-inch corn tortillas, warmed. 2 cups shredded red cabbage","Combine chili powder, paprika, brown sugar, 1/2 tsp salt, garlic powder, pepper. Rub spice mixture over pork in slow cooker. Pour apple juice around pork. Cook on Low 6-7 hours until fork-tender. Combine lime juice, 1/4 tsp salt in bowl. Add pineapple, cucumber, onion; toss. Refrigerate. Skim fat from juices in slow cooker. Shred meat, stir in vinegar. To assemble tacos: Place pulled pork on tortilla, add cooking liquid, shredded cabbage, pineapple salsa.",https://www.eatingwell.com/recipe/280196/pork-pineapple-tacos/
18,Coconut-Curry Chicken Cutlets,387,27,17,32,"2 tablespoons grapeseed oil, divided. 1 pound chicken cutlets. 1 (14 ounce) can light coconut milk. 1 tablespoon brown sugar. 1 tablespoon red Thai curry paste (see Tip). 1 tablespoon lime juice. 2 cups cooked quinoa. Chopped fresh cilantro for garnish","Heat 1 tbsp oil in skillet over medium-high heat. Add chicken, cook until browned and cooked through, 1-3 min per side. Transfer to plate. Remove pan from heat. Whisk remaining 1 tbsp oil, coconut milk, brown sugar, curry paste, lime juice in pan. Cook over high heat until reduced by half, 5-10 min. Serve chicken with quinoa and sauce, garnished with cilantro if desired.",https://www.eatingwell.com/recipe/279675/coconut-curry-chicken-cutlets/
19,Pho-Inspired Beef Noodle Soup,306,33,6,30,"1 teaspoon canola oil. 3 cloves garlic, minced. 1 tablespoon minced fresh ginger. 1 teaspoon ground pepper. ¼ teaspoon ground cinnamon. ¼ teaspoon ground cloves. 4 cups unsalted beef broth. 1 tablespoon fish sauce. 4 ounces pad thai rice noodles. 2 cups halved snap peas. 1 cup thinly sliced white onion. 1 pound beef sirloin, thinly sliced. 1 cup bean sprouts. ½ cup thinly sliced scallions (4 medium). ¼ cup thinly sliced fresh basil. ¼ cup thinly sliced chile peppers, such as serrano or jalapeño. Lime wedges for serving","Heat oil in pot over medium heat. Add garlic, ginger, pepper, cinnamon, cloves; cook 1 min. Stir in broth, fish sauce; bring to boil. Reduce heat, simmer partially covered 15 min. Meanwhile, cook noodles according to package. Drain, divide among 4 bowls. Add snap peas, onion, beef to broth. Simmer until beef is just cooked through, about 1 min; remove from heat. Ladle soup over noodles. Divide bean sprouts, scallions, basil, chiles among bowls. Serve with lime wedges.",https://www.eatingwell.com/recipe/279145/pho-inspired-beef-noodle-soup/
20,Spice-Seared Salmon with Greek-Style Green Beans,311,16,15,29,"2 tablespoons olive oil, divided. 1 small yellow onion, diced. 4 cloves garlic, chopped. 1 (15 ounce) can no-salt-added diced tomatoes. 2 tablespoons chopped fresh dill, divided. ½ teaspoon salt, divided. 12 ounces green beans, stem ends trimmed (4 cups). ¼ cup lemon juice. 1 pound salmon fillet with skin, cut into 4 portions. 1 tablespoon Baharat Spice Mix (see Associated Recipes)","Preheat oven to 425°F. Line baking sheet with parchment paper, coat with spray. Heat 1 tbsp oil in saucepan over medium heat. Add onion, cook until translucent, 3-5 min. Stir in garlic, cook 1 min. Stir in tomatoes, 1 tbsp dill, 1/4 tsp salt; bring to boil. Stir in green beans. Reduce heat, cover, simmer until tender, 10-15 min. Meanwhile, whisk lemon juice, 1 tbsp oil in shallow bowl. Dip salmon in lemon-oil mixture. Place salmon, skin-side down, on baking sheet. Sprinkle with spice mix, remaining 1/4 tsp salt. Roast salmon until opaque in center, about 10 min. Divide green bean mixture among 4 plates, add salmon, sprinkle with remaining 1 tbsp dill.",https://www.eatingwell.com/recipe/279114/spice-seared-salmon-with-greek-style-green-beans/
21,Mushroom-Swiss Turkey Burgers,332,10,18,34,"2 tablespoons extra-virgin olive oil. 1 clove garlic, minced. ¾ teaspoon ground pepper, divided. ½ teaspoon salt, divided. 8  portobello mushroom caps, stems and gills removed (see Tips). 1 pound lean ground turkey. 2 teaspoons gluten-free Worcestershire sauce. 1 teaspoon Dijon mustard. 4 slices Swiss cheese. 1 small tomato, thinly sliced. 3 cups baby arugula","Preheat grill to medium-high. Brush portobello caps with oil mixture; let marinate. Shape turkey mixture into patties. Grill mushrooms until tender, about 4 minutes per side. Transfer to plate; cover. Grill turkey patties until cooked through, about 4-5 minutes per side. Add cheese during last minute. Let patties rest. Place each patty on a portobello cap; top with tomato slices and arugula. Cover with remaining caps. Serve.",https://www.eatingwell.com/recipe/278503/mushroom-swiss-turkey-burgers/
22,Air-Fryer Meatloaf,255,11,13,24,"1 pound 90%-lean ground beef. ½ pound ground pork. 1  large egg, lightly beaten. ½ cup Italian-seasoned panko breadcrumbs. ¼ cup finely chopped yellow onion. ¼ cup chopped fresh parsley. 1 ½ tablespoons Worcestershire sauce. 2 cloves garlic, minced. ½ teaspoon kosher salt. ½ teaspoon ground pepper. 5 tablespoons ketchup, divided","Preheat air fryer to 350°F. Mix beef, pork, egg, panko, onion, parsley, Worcestershire, garlic, salt, pepper, 3 tbsp ketchup. Form into loaves. Cook in air fryer until 155°F, about 25 min. Brush with 2 tbsp ketchup. Continue cooking until 165°F, about 3 min. Rest 5 min before slicing.",https://www.eatingwell.com/recipe/7965122/air-fryer-meatloaf/
23,Instant Pot Beef Bourguignon,252,15,9,24,"1 ¾ pounds beef stew meat, preferably chuck, trimmed and cut into 1 1/4-inch chunks. ¾ teaspoon salt, divided. ½ teaspoon ground pepper. 8 teaspoons canola oil, divided. ⅔ cup dry red wine. 1 large onion, chopped (1 1/2 cups). 1 cup diced carrots (2 medium). 4 cloves garlic, minced. ¾ teaspoon dried thyme leaves. 1 (15 ounce) can no-salt-added diced tomatoes. 1 cup low-sodium beef broth. 1  bay leaf. 1 pound cremini or button mushrooms, quartered (5 cups). 2 cups frozen pearl onions (8 oz.). 2 tablespoons cornstarch. 2 tablespoons water. 1-2 teaspoons red-wine or cider vinegar. 2 tablespoons chopped fresh parsley for garnish","Pat beef dry; sprinkle with salt, pepper. Brown beef in skillet, transfer to plate. Add wine to skillet, cook until reduced. Meanwhile, sauté onion, carrots, garlic, thyme in multicooker. Add tomatoes, broth, beef, wine reduction. Pressure cook for 40 min. Sauté mushrooms separately. Cook pearl onions. Release pressure, stir in cornstarch mixture. Add mushrooms, pearl onions. Garnish with parsley.",https://www.eatingwell.com/recipe/276958/instant-pot-beef-bourguignon/
24,Coconut-Curry Cod Stew with Sweet Potato & Rice,382,50,11,19,"2 cups water. ¾ cup long-grain brown rice. 1 tablespoon canola oil. 1 tablespoon chopped fresh ginger. 1 tablespoon chopped garlic. 1  yellow bell pepper, halved, seeded, and sliced. 1 pound sweet potatoes (about 2 small or 1 large), peeled and cut into 1 1/2-inch pieces. 1 tablespoon curry powder. ½ teaspoon salt. 1 (15 ounce) can light coconut milk. 4  cod fillets (4-5 oz. each). 3 tablespoons chopped fresh cilantro, plus more for garnish. 2 teaspoons lime juice","Cook rice according to package instructions. In a skillet, sauté ginger and garlic. Add bell pepper, sweet potatoes, curry powder, salt, and coconut milk. Simmer until sweet potatoes are tender, about 10-15 minutes. Nestle cod fillets into the pan; cover and cook until soft, 5-8 minutes. Stir in cilantro and lime juice. Serve over rice. Garnish with cilantro if desired.",https://www.eatingwell.com/recipe/276938/coconut-curry-cod-stew-with-sweet-potato-rice/
25,Stuffed Sweet Potatoes with Chili,266,27,9,20,"2 small sweet potatoes (about 8 oz. each). 1 tablespoon canola oil. 8 ounces 95%-lean ground beef. 2  scallions, sliced, green and white parts separated. 2 tablespoons tomato paste. 1-2 canned chipotle peppers in adobo, chopped. 1 tablespoon paprika. ¼ teaspoon salt. 1 cup canned low-sodium kidney beans, rinsed. ½ cup water. ¼ cup shredded Mexican-blend cheese. 4 teaspoons reduced-fat sour cream for garnish","Preheat oven to 425°F. Bake sweet potatoes until tender, about 40-45 minutes. In a skillet, cook beef, scallion whites, and seasonings. Mix in beans until liquid evaporates. Scoop sweet potato flesh into a bowl, mix with chili, and fill potato skins. Top with chili and cheese. Bake until cheese melts, 3-5 minutes. Garnish with scallion greens.",https://www.eatingwell.com/recipe/276936/stuffed-sweet-potatoes-with-chili/
26,Greek-Inspired Burgers with Herb-Feta Sauce,375,24,18,30,"1 cup nonfat plain Greek yogurt. ¼ cup crumbled feta cheese. 3 tablespoons chopped fresh oregano, divided. ¼ teaspoon lemon zest. 2 teaspoons lemon juice. ¾ teaspoon salt, divided. 1 small red onion. 1 pound ground lamb or ground beef. ½ teaspoon ground pepper. 2  whole-wheat pitas, halved, split and warmed. 1 cup sliced cucumber. 1  plum tomato, sliced","Preheat grill or broiler. Mix yogurt, feta, lemon zest, lemon juice, and oregano. Combine chopped onion, meat, oregano, salt, and pepper. Shape into patties. Grill or broil until cooked through. Serve in pita halves with sauce, onion slices, cucumber, and tomato.",https://www.eatingwell.com/recipe/276345/greek-burgers-with-herb-feta-sauce/
27,Sheet-Pan Chicken Fajita Bowls,343,24,10,43,"2 teaspoons chili powder. 2 teaspoons ground cumin. ¾ teaspoon salt, divided. ½ teaspoon garlic powder. ½ teaspoon smoked paprika. ¼ teaspoon ground pepper. 2 tablespoons olive oil, divided. 1 ¼ pounds chicken tenders. 1 medium yellow onion, sliced. 1 medium red bell pepper, sliced. 1 medium green bell pepper, sliced. 4 cups chopped stemmed kale. 1 (15 ounce) can no-salt-added black beans, rinsed. ¼ cup low-fat plain Greek yogurt. 1 tablespoon lime juice. 2 teaspoons water","Preheat oven to 425°F with a baking sheet inside. Combine spices, then mix with chicken, onion, and bell peppers. Coat the pan with cooking spray and spread chicken mixture. Roast for 15 minutes. Toss kale and beans with oil and salt. Remove pan, stir chicken and veggies, then add kale and beans. Roast until chicken is cooked and veggies tender. Mix yogurt, lime juice, and water. Serve chicken and veggies with yogurt dressing.",https://www.eatingwell.com/recipe/274851/sheet-pan-chicken-fajita-bowls/
28,Turkey & Sweet Potato Chili,205,16,9,16,"1 tablespoon extra-virgin olive oil. 1 pound ground turkey. 1 large yellow onion, chopped. 3 cloves garlic, minced. 1 tablespoon minced seeded canned chipotle pepper in adobo sauce. 1 (28 ounce) can no-salt-added diced tomatoes. 2 medium sweet potatoes (about 5 oz. each), peeled and diced. 2 cups unsalted chicken broth. ¾ teaspoon salt. 2 tablespoons lime juice. Chopped avocado for garnish","Heat oil in a large pot. Add turkey, onion, and garlic; cook until turkey is browned and onion is softened. Stir in chipotle, tomatoes, sweet potatoes, broth, and salt. Simmer until sweet potatoes are tender, about 20 minutes. Uncover and simmer until slightly thickened, about 10 minutes more. Stir in lime juice. Serve chili in bowls, garnished with avocado if desired.",https://www.eatingwell.com/recipe/280946/turkey-sweet-potato-chili/
29,Chicken Parmesan Pizza,373,41,13,28,"1 pound whole-wheat pizza dough. 1 ½ cups shredded cooked chicken breast (8 ounces). ¾ cup pizza sauce, divided. ¼ teaspoon garlic powder. ¼ teaspoon crushed red pepper. All-purpose flour for rolling dough. 1 cup shredded low-fat mozzarella cheese or 4 ounces fresh mozzarella, torn into pieces. ½ cup grated Parmesan cheese, divided. ¼ cup thinly sliced fresh basil","Preheat oven to 475°F and coat a baking sheet with cooking spray. Mix chicken, 1/4 cup pizza sauce, garlic powder, and crushed red pepper. Roll out pizza dough and transfer to baking sheet. Spread remaining pizza sauce over dough, then top with chicken mixture, mozzarella, and 1/4 cup Parmesan. Bake for 16-20 minutes. Sprinkle with basil and remaining Parmesan before cutting into 10 pieces.",https://www.eatingwell.com/recipe/263102/chicken-parmesan-pizza/
